time x1 y1 x2 y2
9.391700000000000159e+00 8.485121611556172005e-02 -3.908967525110822461e-01 -1.631802350464085782e-02 -3.902198344398866148e-03
9.391799999999999926e+00 8.240147812833052698e-02 -3.914204854146832724e-01 -2.126080217563443286e-02 -5.086262697898524809e-03
9.391899999999999693e+00 7.994862536314824297e-02 -3.919288421417119750e-01 -2.620260233679361228e-02 -6.271070460918348743e-03
9.392000000000001236e+00 7.749279100433607848e-02 -3.924217977411019187e-01 -3.114323363848715831e-02 -7.456586131268372331e-03
9.392100000000001003e+00 7.503411024815156982e-02 -3.928993284535725050e-01 -3.608250186534900372e-02 -8.642775467917029886e-03
9.392200000000000770e+00 7.257272062532606205e-02 -3.933614117081623007e-01 -4.102020831874057805e-02 -9.829605342760228126e-03
9.392300000000000537e+00 7.010876232291392285e-02 -3.938080261314504948e-01 -4.595614920525330216e-02 -1.101704359403660183e-02
9.392400000000000304e+00 6.764237850482626713e-02 -3.942391515694627646e-01 -5.089011503236681722e-02 -1.220505888157807917e-02
9.392500000000000071e+00 6.517371563039492388e-02 -3.946547691222398457e-01 -5.582189001242567061e-02 -1.339362054409393155e-02
9.392599999999999838e+00 6.270292377028412190e-02 -3.950548611910223440e-01 -6.075125147615036136e-02 -1.458269845868437331e-02
9.392699999999999605e+00 6.023015691903576413e-02 -3.954394115379856189e-01 -6.567796929695421393e-02 -1.577226290279176713e-02
9.392800000000001148e+00 5.775557330350163110e-02 -3.958084053584307593e-01 -7.060180532739936121e-02 -1.696228441880237581e-02
9.392900000000000915e+00 5.527933568638028483e-02 -3.961618293653144107e-01 -7.552251284919049568e-02 -1.815273368152320321e-02
9.393000000000000682e+00 5.280161166404102879e-02 -3.964996718859674640e-01 -8.043983603816949601e-02 -1.934358136876646039e-02
9.393100000000000449e+00 5.032257395777950393e-02 -3.968219229708255802e-01 -8.535350944584432775e-02 -2.053479803528790448e-02
9.393200000000000216e+00 4.784240069761194064e-02 -3.971285745139591095e-01 -9.026325749905600437e-02 -2.172635399033839843e-02
9.393299999999999983e+00 4.536127569767705453e-02 -3.974196203851532716e-01 -9.516879401945477213e-02 -2.291821917909891981e-02
9.393399999999999750e+00 4.287938872227725629e-02 -3.976950565732542131e-01 -1.000698217645281662e-01 -2.411036306828873155e-02
9.393500000000001293e+00 4.039693574155392430e-02 -3.979548813404514274e-01 -1.049660319919888396e-01 -2.530275453624675208e-02
9.393600000000001060e+00 3.791411917575669005e-02 -3.981990953871273331e-01 -1.098571040493935835e-01 -2.649536176780675767e-02
9.393700000000000827e+00 3.543114812703367089e-02 -3.984277020268548464e-01 -1.147427049909253288e-01 -2.768815215429853982e-02
9.393800000000000594e+00 3.294823859763958834e-02 -3.986407073710774851e-01 -1.196224892233215542e-01 -2.888109219902790237e-02
